# Rprobe Nvoids Vtotal Stotal
.10 8 5.41056126687265 46.1572632915805
.11 8 4.96068722965755 43.8522868843754
.12 8 4.53293355045221 41.7142887054593
.13 8 4.12680126596416 39.5130214697046
.14 8 3.74247814116414 37.3590375078116
.15 8 3.38026178152622 35.031406470994
.16 8 3.04073670984741 32.9208282970563
.17 8 2.72139321882781 30.9492101662075
.18 8 2.42155587064216 29.0343707881583
.19 8 2.14041808768205 27.199858334348
.20 8 1.8774251593645 25.4060982086125
.21 8 1.63214870957283 23.6563483306934
.22 8 1.40416223631293 21.9473510394918
.23 8 1.19309547063651 20.2678484144829
.24 8 0.998787343032387 18.5952474900316
.25 8 0.821225684375862 16.9146100594683
.26 8 0.660500710651445 15.2320182005282
.27 8 0.516664156011195 13.526138187919
.28 8 0.389965713648196 11.811338518806
.29 8 0.280541803798477 10.069162609539
.30 8 0.188583881445102 8.32460862628748
.31 8 0.113997806536271 6.59242808535534
.32 8 0.0567697520200241 4.85444924147838
.33 8 0.0173044847514155 2.90524181125226
.34 8 0.00044329893684393 0.41391101411051
.35 0 0 0
.36 0 0 0
.37 0 0 0
.38 0 0 0
.39 0 0 0
.40 0 0 0
